customer_id,customer_name,row_id,order_id,order_date,order_priority,year,weeknum,ship_date,ship_mode,shipping_cost,segment,country,city,state,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit,market,market2
LS-172304,Lycoris Saunders,36624,CA-2011-130813,2011-01-07,High,2011,2,2011-01-09,Second Class,4.37,Consumer,United States,Los Angeles,California,West,OFF-PA-10002005,Office Supplies,Paper,Xerox 225,19,3,0.0,9.3312,US,North America
MV-174854,Mark Van Huff,37033,CA-2011-148614,2011-01-21,Medium,2011,4,2011-01-26,Standard Class,0.94,Consumer,United States,Los Angeles,California,West,OFF-PA-10002893,Office Supplies,Paper,"Wirebound Service Call Books, 5 1/2"" x 4""",19,2,0.0,9.2928,US,North America
CS-121304,Chad Sievert,31468,CA-2011-118962,2011-08-05,Medium,2011,32,2011-08-09,Standard Class,1.81,Consumer,United States,Los Angeles,California,West,OFF-PA-10000659,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",21,3,0.0,9.8418,US,North America
CS-121304,Chad Sievert,31469,CA-2011-118962,2011-08-05,Medium,2011,32,2011-08-09,Standard Class,4.59,Consumer,United States,Los Angeles,California,West,OFF-PA-10001144,Office Supplies,Paper,Xerox 1913,111,2,0.0,53.2608,US,North America
AP-109154,Arthur Prichep,32440,CA-2011-146969,2011-09-29,High,2011,40,2011-10-03,Standard Class,1.32,Consumer,United States,Los Angeles,California,West,OFF-PA-10002105,Office Supplies,Paper,Xerox 223,6,1,0.0,3.1104,US,North America
JF-154904,Jeremy Farry,32890,CA-2011-117317,2011-10-19,Critical,2011,43,2011-10-19,Same Day,2.39,Consumer,United States,Los Angeles,California,West,OFF-PA-10004519,Office Supplies,Paper,Spiral Phone Message Books with Labels by Adams,13,3,0.0,6.5856,US,North America
WB-218504,William Brown,35608,CA-2011-125829,2011-11-04,Medium,2011,45,2011-11-11,Standard Class,1.15,Consumer,United States,Los Angeles,California,West,OFF-PA-10000223,Office Supplies,Paper,Xerox 2000,19,3,0.0,9.3312,US,North America
JA-159704,Joseph Airdo,33709,CA-2011-151295,2011-11-12,High,2011,46,2011-11-16,Standard Class,0.92,Consumer,United States,Los Angeles,California,West,OFF-PA-10001947,Office Supplies,Paper,Xerox 1974,12,2,0.0,5.8604,US,North America
SP-209204,Susan Pistek,35267,CA-2011-135090,2011-11-22,High,2011,48,2011-11-26,Standard Class,6.98,Consumer,United States,Los Angeles,California,West,OFF-PA-10002245,Office Supplies,Paper,Xerox 1895,54,9,0.0,24.219,US,North America
RL-196154,Rob Lucas,38866,CA-2011-133830,2011-12-05,Medium,2011,50,2011-12-10,Standard Class,1.99,Consumer,United States,Los Angeles,California,West,OFF-PA-10001363,Office Supplies,Paper,Xerox 1933,49,4,0.0,23.0864,US,North America
KD-163454,Katherine Ducich,33788,CA-2011-113579,2011-12-13,High,2011,51,2011-12-15,Second Class,8.53,Consumer,United States,Los Angeles,California,West,OFF-PA-10001457,Office Supplies,Paper,White GlueTop Scratch Pads,90,6,0.0,41.5104,US,North America
JM-161954,Justin MacKendrick,33544,CA-2012-116092,2012-02-15,Medium,2012,7,2012-02-18,Second Class,1.0,Consumer,United States,Los Angeles,California,West,OFF-PA-10004285,Office Supplies,Paper,Xerox 1959,13,2,0.0,6.4128,US,North America
JM-161954,Justin MacKendrick,33548,CA-2012-116092,2012-02-15,Medium,2012,7,2012-02-18,Second Class,0.06,Consumer,United States,Los Angeles,California,West,OFF-PA-10000477,Office Supplies,Paper,Xerox 22,19,3,0.0,9.3312,US,North America
RD-195854,Rob Dowd,39431,CA-2012-121776,2012-02-16,High,2012,7,2012-02-21,Standard Class,4.04,Consumer,United States,Los Angeles,California,West,OFF-PA-10001970,Office Supplies,Paper,Xerox 1881,37,3,0.0,17.3148,US,North America
AB-101654,Alan Barnes,31990,CA-2012-131534,2012-03-28,Medium,2012,13,2012-04-02,Standard Class,2.25,Consumer,United States,Los Angeles,California,West,OFF-PA-10000743,Office Supplies,Paper,Xerox 1977,33,5,0.0,16.032,US,North America
AR-105404,Andy Reiter,38758,US-2012-136987,2012-04-11,Medium,2012,15,2012-04-14,Second Class,1.59,Consumer,United States,Los Angeles,California,West,OFF-PA-10003127,Office Supplies,Paper,Staples,53,2,0.0,24.2696,US,North America
LH-171554,Logan Haushalter,35746,CA-2012-121965,2012-06-19,Medium,2012,25,2012-06-23,Standard Class,0.52,Consumer,United States,Los Angeles,California,West,OFF-PA-10004355,Office Supplies,Paper,Xerox 231,6,1,0.0,3.1104,US,North America
AR-105104,Andrew Roberts,32057,CA-2012-112319,2012-08-31,High,2012,35,2012-09-05,Standard Class,7.98,Consumer,United States,Los Angeles,California,West,OFF-PA-10003441,Office Supplies,Paper,Xerox 226,58,9,0.0,27.9936,US,North America
NG-184304,Nathan Gelder,36102,CA-2012-137708,2012-11-22,High,2012,47,2012-11-25,Second Class,3.9,Consumer,United States,Los Angeles,California,West,OFF-PA-10000176,Office Supplies,Paper,Xerox 1887,38,2,0.0,18.2112,US,North America
NG-184304,Nathan Gelder,36103,CA-2012-137708,2012-11-22,High,2012,47,2012-11-25,Second Class,6.15,Consumer,United States,Los Angeles,California,West,OFF-PA-10000327,Office Supplies,Paper,Xerox 1971,43,10,0.0,19.26,US,North America
DP-130004,Darren Powers,33074,CA-2012-105347,2012-11-24,Medium,2012,47,2012-11-28,Standard Class,6.98,Consumer,United States,Los Angeles,California,West,OFF-PA-10000675,Office Supplies,Paper,Xerox 1919,369,9,0.0,180.7659,US,North America
TS-213404,Toby Swindell,35414,CA-2012-153416,2012-11-24,Medium,2012,47,2012-11-29,Standard Class,1.68,Consumer,United States,Los Angeles,California,West,OFF-PA-10002005,Office Supplies,Paper,Xerox 225,19,3,0.0,9.3312,US,North America
KM-167204,Kunst Miller,31361,CA-2012-135545,2012-11-24,Medium,2012,47,2012-11-30,Standard Class,4.93,Consumer,United States,Los Angeles,California,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,147,3,0.0,68.9631,US,North America
AI-108554,Arianne Irving,39966,CA-2012-158918,2012-12-20,Medium,2012,51,2012-12-25,Second Class,1.31,Consumer,United States,Los Angeles,California,West,OFF-PA-10004947,Office Supplies,Paper,Staples,17,4,0.0,7.704,US,North America
CL-125654,Clay Ludtke,37305,CA-2012-135580,2012-12-30,Medium,2012,53,2013-01-03,Standard Class,6.36,Consumer,United States,Los Angeles,California,West,OFF-PA-10000595,Office Supplies,Paper,Xerox 1929,69,3,0.0,31.5192,US,North America
SW-202454,Scot Wooten,39776,US-2013-119270,2013-03-13,Medium,2013,11,2013-03-17,Standard Class,1.3,Consumer,United States,Los Angeles,California,West,OFF-PA-10004022,Office Supplies,Paper,Hammermill Color Copier Paper (28Lb. and 96 Bright),20,2,0.0,8.991,US,North America
CC-122204,Chris Cortes,38455,CA-2013-131380,2013-03-29,Critical,2013,13,2013-04-01,Second Class,1.82,Consumer,United States,Los Angeles,California,West,OFF-PA-10001243,Office Supplies,Paper,Xerox 1983,6,1,0.0,2.9302,US,North America
LC-171404,Logan Currie,32200,CA-2013-130477,2013-04-09,High,2013,15,2013-04-13,Standard Class,2.92,Consumer,United States,Los Angeles,California,West,OFF-PA-10002947,Office Supplies,Paper,Xerox 1923,20,3,0.0,9.6192,US,North America
LC-171404,Logan Currie,32202,CA-2013-130477,2013-04-09,High,2013,15,2013-04-13,Standard Class,2.28,Consumer,United States,Los Angeles,California,West,OFF-PA-10000019,Office Supplies,Paper,Xerox 1931,13,2,0.0,6.2208,US,North America
JF-152954,Jason Fortune-,38657,CA-2013-163594,2013-04-13,Medium,2013,15,2013-04-15,First Class,1.77,Consumer,United States,Los Angeles,California,West,OFF-PA-10000809,Office Supplies,Paper,Xerox 206,19,3,0.0,9.3312,US,North America
JO-152804,Jas O'Carroll,32905,US-2013-115819,2013-04-20,Medium,2013,16,2013-04-25,Second Class,3.87,Consumer,United States,Los Angeles,California,West,OFF-PA-10002377,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",23,4,0.0,10.224,US,North America
TB-216254,Trudy Brown,36111,CA-2013-111696,2013-05-09,High,2013,19,2013-05-11,First Class,3.42,Consumer,United States,Los Angeles,California,West,OFF-PA-10002751,Office Supplies,Paper,Xerox 1920,18,3,0.0,8.073,US,North America
TT-210704,Ted Trevino,31457,CA-2013-162733,2013-05-12,Medium,2013,20,2013-05-13,First Class,0.41,Consumer,United States,Los Angeles,California,West,OFF-PA-10002751,Office Supplies,Paper,Xerox 1920,6,1,0.0,2.691,US,North America
DO-134354,Denny Ordway,35241,CA-2013-133144,2013-05-17,Medium,2013,20,2013-05-22,Second Class,1.82,Consumer,United States,Los Angeles,California,West,OFF-PA-10004971,Office Supplies,Paper,Xerox 196,17,3,0.0,8.4966,US,North America
LS-172454,Lynn Smith,39165,CA-2013-136994,2013-05-28,Medium,2013,22,2013-06-03,Standard Class,0.88,Consumer,United States,Los Angeles,California,West,OFF-PA-10000575,Office Supplies,Paper,"Wirebound Message Books, Four 2 3/4 x 5 White Forms per Page",13,2,0.0,6.1548,US,North America
CL-125654,Clay Ludtke,34718,CA-2013-134803,2013-05-29,Low,2013,22,2013-06-04,Standard Class,17.93,Consumer,United States,Los Angeles,California,West,OFF-PA-10003790,Office Supplies,Paper,Xerox 1991,183,8,0.0,84.0512,US,North America
OT-187304,Olvera Toch,31855,CA-2013-113243,2013-06-11,Medium,2013,24,2013-06-16,Standard Class,1.91,Consumer,United States,Los Angeles,California,West,OFF-PA-10003441,Office Supplies,Paper,Xerox 226,32,5,0.0,15.552,US,North America
BD-113204,Bill Donatelli,35475,CA-2013-148593,2013-06-17,Medium,2013,25,2013-06-19,Second Class,1.14,Consumer,United States,Los Angeles,California,West,OFF-PA-10001776,Office Supplies,Paper,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",46,5,0.0,21.7845,US,North America
MV-181904,Mike Vittorini,37914,CA-2013-123512,2013-06-18,Critical,2013,25,2013-06-20,First Class,74.66,Consumer,United States,Los Angeles,California,West,OFF-PA-10001497,Office Supplies,Paper,Xerox 1914,220,4,0.0,107.7216,US,North America
GT-147554,Guy Thornton,34861,CA-2013-130029,2013-07-04,High,2013,27,2013-07-07,First Class,1.62,Consumer,United States,Los Angeles,California,West,OFF-PA-10000552,Office Supplies,Paper,Xerox 200,13,2,0.0,6.2208,US,North America
CC-123704,Christopher Conant,35281,CA-2013-135265,2013-07-08,Critical,2013,28,2013-07-10,Second Class,10.36,Consumer,United States,Los Angeles,California,West,OFF-PA-10002923,Office Supplies,Paper,Xerox 1942,49,1,0.0,24.47,US,North America
